poi_id,lon,lat,category
node/357833501,126.95661,37.54587,transit
node/357833565,127.0384472,37.5583093,transit
node/357833614,127.0257083,37.576483,transit
node/357833676,127.0619372,37.5899797,transit
node/357833760,126.9997715,37.570909,transit
node/357833811,126.9062858,37.5603818,transit
node/357833816,126.908881,37.5576159,transit
node/357833871,126.9129745,37.5506732,transit
node/357833967,127.0966846,37.5890815,transit
node/357833977,127.0983007,37.5919299,transit
node/357834033,127.0731276,37.5913965,transit
node/357834039,127.07434,37.58947,transit
node/357834073,127.0953,37.59466,transit
node/357834086,127.0937947,37.594272,transit
node/357834091,127.0835909,37.5921341,transit
node/357834096,127.08716,37.59292,transit
node/357834104,127.0782707,37.5907407,transit
node/357834108,127.0812477,37.5916418,transit
node/357834112,127.08762,37.59279,transit
node/357834114,127.0898579,37.5932896,transit
node/357834119,127.0807262,37.5913813,transit
node/357834123,127.0838368,37.5920589,transit
node/357834128,127.07403,37.58918,transit
node/357834130,127.0774563,37.5904165,transit
node/357834144,127.0293975,37.5773198,transit
node/357834150,127.0254027,37.5761931,transit
node/357834156,127.088155,37.5867866,transit
node/357834175,127.0994115,37.5943363,transit
node/357834187,127.09773,37.59496,transit
node/357834189,127.0949829,37.5944523,transit
node/357834191,127.0924803,37.593889,transit
node/357834200,126.90849,37.5575,transit
node/357834206,126.91086,37.55485,transit
node/357834210,126.9127102,37.5506683,transit
node/357834218,126.9058736,37.5606813,transit
node/357834266,127.08364,37.54151,transit
node/357834270,127.0897665,37.5491952,transit
node/357834272,127.0857,37.54563,transit
node/357834311,127.07485,37.55877,transit
node/357834325,127.03175,37.57374,transit
node/357834500,127.0935546,37.5921527,transit
node/357834514,127.0939929,37.584426,transit
node/357834526,127.0846,37.54307,transit
node/357834546,127.08862,37.55418,transit
node/357834553,127.09046,37.55084,transit
node/357834561,127.0862664,37.5678868,transit
node/357834566,127.0874568,37.5612834,transit
node/357834570,127.0879012,37.5582749,transit
node/357834573,127.0906545,37.5778103,transit
node/357834629,127.09004,37.57751,transit
node/357834639,127.0885,37.5759,transit
node/357834642,127.0861006,37.567883,transit
node/357834662,127.0892832,37.5525288,transit
node/357834675,127.063866,37.4999449,transit
node/357834678,127.068123,37.501358,transit
node/357834684,127.08152,37.50628,transit
node/357834695,127.0853778,37.5052284,transit
node/357834789,127.0632605,37.4994452,transit
node/357834790,127.05956,37.4981982,transit
node/357834791,127.077732,37.505164,transit
node/357834797,127.0268829,37.4975406,transit
node/357834801,127.029444,37.488978,transit
node/357834809,127.0476983,37.4947118,transit
node/357834813,127.0387278,37.4917536,transit
node/357835045,127.0474341,37.518439,transit
node/357835051,127.0398181,37.5215056,transit
node/357835057,127.0565014,37.5200739,transit
node/357835066,127.01621,37.54776,transit
node/357835074,127.0395789,37.52827,transit
node/357835102,126.99755,37.58431,transit
node/357835119,127.00069,37.58574,transit
node/357835154,127.0032588,37.5761309,transit
node/357835156,127.0062982,37.5742897,transit
node/357835162,127.00069,37.57585,transit
node/357835173,126.99668,37.58762,transit
node/357835175,126.99896,37.58965,transit
node/357835179,127.015397,37.5485535,transit
node/357835183,127.0078265,37.5581092,transit
node/357835192,127.0361439,37.52884,transit
node/357835202,127.0522805,37.5190369,transit
node/357835212,127.0612115,37.5119184,transit
node/357835219,127.0844587,37.5114755,transit
node/357835367,127.05065,37.55121,transit
node/357835369,127.0842227,37.5422365,transit
node/357835371,127.0821061,37.5455618,transit
node/357835375,127.0711415,37.5480295,transit
node/357835394,127.0158414,37.5683413,transit
node/357835401,127.013595,37.5651147,transit
node/357835403,127.0187643,37.565692,transit
node/357835406,127.0173627,37.5715131,transit
node/357835425,127.04328,37.55675,transit
node/357835681,127.0894334,37.5486391,transit
node/357835727,127.0834083,37.5387765,transit
node/357835755,127.0982203,37.5124611,transit
node/357835777,127.0794494,37.5116147,transit
node/357836007,126.9608602,37.5115347,transit
node/357836060,126.9320342,37.5273941,transit
node/357836086,126.9685007,37.5063638,transit
node/357836252,127.09387,37.5122,transit
node/357836471,127.0641936,37.5074361,transit
node/357836525,127.012974,37.4877389,transit
node/357836530,127.016373,37.488798,transit
node/357836534,127.0211947,37.4902221,transit
node/357836546,127.0055791,37.4827474,transit
node/357836560,127.0517545,37.5006961,transit
node/357836567,127.056328,37.5022445,transit
node/357836571,127.061898,37.5039658,transit
node/357836575,127.0254854,37.4916111,transit
node/357836584,127.034025,37.4940974,transit
node/357836588,127.0402858,37.4961932,transit
node/357836630,126.9886352,37.4781797,transit
node/357836666,126.9204522,37.5236594,transit
node/357836698,126.9055181,37.5248712,transit
node/357836839,127.0133427,37.4880507,transit
node/357836851,127.0050002,37.4829303,transit
node/357836859,126.9966806,37.4811842,transit
node/357836875,126.9819332,37.4788878,transit
node/357836916,127.0614966,37.5040741,transit
node/357836929,127.0790423,37.5098411,transit
node/357836933,127.0408425,37.4966904,transit
node/357836942,127.051775,37.5009078,transit
node/357836946,127.0567856,37.502541,transit
node/357836950,127.0213791,37.4904906,transit
node/357836963,127.03407,37.49432,transit
node/357837058,126.92709,37.52698,transit
node/357837069,126.9243285,37.5254404,transit
node/357837088,126.9508715,37.5127281,transit
node/357837133,126.920146,37.5136851,transit
node/357837151,127.061731,37.5086235,transit
node/357837155,127.087271,37.511759,transit
node/357837212,126.9766525,37.5031885,transit
node/357837255,127.0192769,37.5105806,transit
node/357837515,127.0221683,37.5014758,transit
node/357837532,127.0290811,37.4982595,transit
node/357837602,127.044057,37.503232,transit
node/357837607,127.0502518,37.5050462,transit
node/357837658,127.0504622,37.5047611,transit
node/357837786,127.0138121,37.5195667,transit
node/357837790,127.0100874,37.5165006,transit
node/357837826,127.042659,37.512997,transit
node/357837839,127.039367,37.5279843,transit
node/357837849,127.0310393,37.528314,transit
node/357837881,127.0461549,37.51098,transit
node/357838445,127.0176062,37.4818108,transit
node/357838449,127.010918,37.4792588,transit
node/357838453,127.0066438,37.4771623,transit
node/357838457,127.000329,37.4770678,transit
node/357838472,127.0309152,37.4838446,transit
node/357838477,127.0215889,37.4826931,transit
node/357838481,127.009252,37.5529342,transit
node/357838504,127.0022,37.56999,transit
node/357838666,126.9919994,37.4904176,transit
node/357838709,127.0060868,37.4772727,transit
node/357838766,127.0452517,37.477243,transit
node/357838775,127.052254,37.4724246,transit
node/357838783,127.0578352,37.4756132,transit
node/357838800,127.08871,37.4838524,transit
node/357838840,127.06834,37.48948,transit
node/357838849,126.9916511,37.4906876,transit
node/357838853,126.9940262,37.4868101,transit
node/357838861,126.9979873,37.4806398,transit
node/357838875,126.987806,37.496634,transit
node/357838887,126.9865446,37.5377182,transit
node/357838903,126.9741358,37.5586374,transit
node/357838955,126.9874692,37.5398242,transit
node/357839019,127.0481783,37.5696403,transit
node/357839034,127.0415772,37.562088,transit
node/357839042,127.041572,37.564881,transit
node/357839142,127.042201,37.5830127,transit
node/357839160,127.041789,37.5630234,transit
node/357839169,127.0482558,37.5694801,transit
node/357839211,127.03863,37.58562,transit
node/357839219,127.0363091,37.5456014,transit
node/357839240,127.0396345,37.5243159,transit
node/357839270,127.0365855,37.5447471,transit
node/357839304,127.0285697,37.4959644,transit
node/357839327,127.0032325,37.5412497,transit
node/357839431,127.0099631,37.5538302,transit
node/357839707,127.024573,37.5748149,transit
node/357839720,127.03994,37.57343,transit
node/357839878,127.0847497,37.4834885,transit
node/357839944,127.0615552,37.5619547,transit
node/357839946,127.0550244,37.5651822,transit
node/357840005,127.093064,37.5489697,transit
node/357840043,126.96449,37.56823,transit
node/357840124,126.9050379,37.5752253,transit
node/357840179,127.0705331,37.4900527,transit
node/357840193,127.0585796,37.4925595,transit
node/357840199,127.0489606,37.4881449,transit
node/357840201,127.038004,37.485293,transit
node/357840205,127.0446153,37.4861438,transit
node/357840217,127.0263072,37.5008696,transit
node/357840225,127.0057302,37.5364422,transit
node/357840229,127.00204,37.544437,transit
node/357840235,126.996235,37.5416209,transit
node/357840245,126.9764734,37.5624089,transit
node/357840300,126.9811233,37.5521229,transit
node/357840316,126.9972013,37.5408918,transit
node/357840324,126.9857064,37.5463431,transit
node/357840328,126.9928257,37.5425898,transit
node/357840336,127.0231433,37.5072398,transit
node/357840353,127.0373516,37.4848997,transit
node/357840383,127.0449216,37.4860153,transit
node/357840387,127.0721077,37.4922439,transit
node/357840408,127.0400461,37.5169814,transit
node/357840442,126.9921135,37.5254821,transit
node/357840446,126.9911296,37.530253,transit
node/357840450,126.987057,37.5371418,transit
node/357840468,127.0049941,37.5062225,transit
node/357840593,127.0657901,37.5035921,transit
node/357840598,127.0683966,37.4984286,transit
node/357840611,127.0565,37.51974,transit
node/357840639,127.0937686,37.4843205,transit
node/357840652,127.0820755,37.4829602,transit
node/357840874,126.9876006,37.5684192,transit
node/357840990,126.9879727,37.5640336,transit
node/357841137,127.0291194,37.4949845,transit
node/357841149,127.0331044,37.4865336,transit
node/357841370,126.9147983,37.5185293,transit
node/357841530,127.0490513,37.461909,transit
node/357841592,126.9970596,37.5038805,transit
node/357841713,126.9096864,37.5717587,transit
node/357841924,127.0914402,37.4636818,transit
node/357841971,126.9867646,37.4753865,transit
node/357842093,126.9282716,37.5295704,transit
node/357842142,126.917914,37.5294205,transit
node/357842150,126.9372605,37.4844179,transit
node/357842154,126.9432356,37.4823457,transit
node/357842158,126.9294777,37.4859631,transit
node/357842170,126.9273466,37.4945745,transit
node/357842221,127.0213146,37.4865068,transit
node/357842226,127.0142184,37.4847318,transit
node/357842230,127.0085384,37.4836051,transit
node/357842248,126.9933848,37.4801545,transit
node/357842413,127.0974338,37.4852889,transit
node/357842450,127.0662088,37.4885133,transit
node/357842478,127.0423093,37.4927695,transit
node/357842499,127.0298927,37.4888154,transit
node/357842525,127.0154826,37.4846722,transit
node/357842539,126.9934591,37.480028,transit
node/357842547,127.0018917,37.482005,transit
